NetID,OfficeName,ATitle
NXO589027,Facilties and Economic Development,Manager
SXB651479,Information Security,Executive
EXO316443,Information Security,staff
CXP226059,Office of the Provost,Cabinet
RXB153281,Office of Budget and Finance,Senior Staff
MXD555803,Facilties and Economic Development,Senior Staff
JXD162782,Office of the President,Cabinet
CXP229654,Government and Community Relations,Manager
KXL435258,Facilties and Economic Development,Executive
BXD236153,"Institutional Compliance, Equity, and Title IX Initiatives",Manager
LXP433047,Information Security,Cabinet
TXS437110,Student Affairs,staff
VXL257603,Office of Human Resources,Cabinet
HXC854899,Office of the President,staff
RXC914315,Office of Development and Alumni Relations,Manager
CXF384878,Government and Community Relations,Cabinet
NXG445449,Office of the Provost,Senior Staff
AXB675258,"Office of Diversity, Equity, and Inclusion",staff
CXD988066,"Office of Diversity, Equity, and Inclusion",Cabinet
MXB437999,Office of the President,Cabinet
GXR122427,Facilties and Economic Development,staff
KXT437134,Office of Budget and Finance,staff
JXD680414,Office of Information Technology,staff
GXM654878,Office of the President,Manager
EXO613545,"Office of Diversity, Equity, and Inclusion",Senior Staff
VXO866970,Government and Community Relations,Manager
RXB350798,Information Security,staff
LXB472403,"Institutional Compliance, Equity, and Title IX Initiatives",Cabinet
MXP632436,Office of Development and Alumni Relations,staff
AXO293593,"Institutional Compliance, Equity, and Title IX Initiatives",Manager
VXF715058,Office of the Provost,Senior Staff
TXG345262,Office of Research and Innovation,staff
MXL405003,Government and Community Relations,Executive
RXC141044,"Institutional Compliance, Equity, and Title IX Initiatives",Manager
MXM925209,Office of the President,staff
GXC633504,Office of Development and Alumni Relations,Cabinet
SXC698649,Office of Audit and Consulting,Executive
MXB979240,Office of Information Technology,Senior Staff
RXM601321,Office of Budget and Finance,Senior Staff
FXC486840,Facilties and Economic Development,staff
SXP843807,Office of the Provost,Manager
BXH875871,Office of Audit and Consulting,Manager
AXG332267,Government and Community Relations,Executive
CXS961107,Office of the Provost,staff
MXW496296,Office of the Provost,staff
BXN964697,Facilties and Economic Development,Executive
HXM813378,Government and Community Relations,Cabinet
TXC275484,Office of the Provost,staff
CXC820184,Office of Institutional Success and Decision Support,Manager
RXB453424,Office of Human Resources,staff
JXC835463,Office of Communications,Senior Staff
BXT568826,Office of Human Resources,Manager
FXD738134,Student Affairs,Manager
MXR145580,Office of Research and Innovation,staff
MXH917854,Office of Audit and Consulting,Manager
NXO244165,Student Affairs,Executive
LXT281761,Student Affairs,Senior Staff
CXA143845,Office of Audit and Consulting,Manager
QXL335767,Office of the President,Senior Staff
NXF316292,Office of Audit and Consulting,staff
EXD213985,Office of Information Technology,staff
NXR807056,Information Security,staff
MXS354360,"Office of Diversity, Equity, and Inclusion",Cabinet
CXP515586,Office of Communications,Manager
AXW821672,Information Security,Senior Staff
LXN690988,Student Affairs,Manager
AXC692887,Information Security,Senior Staff
TXC596788,Office of Development and Alumni Relations,staff
PXK655598,Office of the President,staff
DXT584139,Student Affairs,Executive
MXR171609,Office of Human Resources,Executive
VXB823550,Information Security,staff
KXG610902,Office of Communications,Cabinet
KXL723379,Office of the President,Executive
TXH462808,Office of the Provost,Manager
CXS469580,Information Security,Manager
IXC975187,Office of Legal Affairs,Senior Staff
CXM387394,Office of Development and Alumni Relations,Cabinet
BXG822700,"Institutional Compliance, Equity, and Title IX Initiatives",staff
HXP881833,Facilties and Economic Development,staff
JXS148310,Office of Budget and Finance,Manager
GXT487700,Office of Budget and Finance,Executive
HXL456197,Student Affairs,Executive
SXS896891,Office of Audit and Consulting,Manager
BXS606825,Office of Development and Alumni Relations,staff
HXP619613,"Institutional Compliance, Equity, and Title IX Initiatives",Executive
KXG936798,Office of Development and Alumni Relations,Cabinet
HXV963383,"Institutional Compliance, Equity, and Title IX Initiatives",staff
JXS462073,Student Affairs,Executive
FXB496939,Office of the President,Executive
BXN432802,"Institutional Compliance, Equity, and Title IX Initiatives",staff
CXG477710,Government and Community Relations,Senior Staff
GXS537863,"Office of Diversity, Equity, and Inclusion",staff
DXV997930,Office of Institutional Success and Decision Support,Manager
AXN838166,"Office of Diversity, Equity, and Inclusion",Senior Staff
CXC214537,"Office of Diversity, Equity, and Inclusion",Manager
RXF968981,Information Security,Manager
HXW454079,Office of Legal Affairs,staff
DXL480190,Office of Legal Affairs,Executive
DXG733216,Facilties and Economic Development,Manager
MXC849559,Government and Community Relations,Cabinet
GXG192248,Office of Communications,Manager
BXA745919,Government and Community Relations,Cabinet
AXC529235,Office of Human Resources,Manager
EXH379710,Office of Institutional Success and Decision Support,Manager
TXL605796,Office of Institutional Success and Decision Support,Cabinet
BXZ746113,Office of the President,staff
LXG964146,"Office of Diversity, Equity, and Inclusion",Senior Staff
NXR683811,Office of Audit and Consulting,Manager
AXR913326,"Office of Diversity, Equity, and Inclusion",Senior Staff
SXL714992,Office of Institutional Success and Decision Support,Senior Staff
MXM590602,"Office of Diversity, Equity, and Inclusion",Executive
NXM586929,Office of Communications,Executive
NXB640946,Government and Community Relations,Cabinet
CXF435031,"Institutional Compliance, Equity, and Title IX Initiatives",Executive
CXA695915,Office of Information Technology,Senior Staff
WXW796348,Office of Information Technology,staff
EXF857078,Office of Communications,staff
LXH626431,Office of Information Technology,Cabinet
MXW305787,Office of the Provost,staff
MXA493675,Office of Development and Alumni Relations,Executive
RXL955974,Office of Human Resources,Cabinet
KXK551895,Facilties and Economic Development,Manager
RXL685133,Office of Budget and Finance,staff
DXC966470,Student Affairs,Senior Staff
TXE993017,Office of Institutional Success and Decision Support,staff
OXL907913,Office of Research and Innovation,Executive
RXN212429,Office of Information Technology,Senior Staff
CXF863716,"Institutional Compliance, Equity, and Title IX Initiatives",staff
FXP708794,Office of the Provost,Executive
DXT709424,Office of the Provost,staff
TXW980343,Office of Budget and Finance,Cabinet
SXK926304,Office of Information Technology,Senior Staff
TXE503205,Office of Information Technology,Executive
CXP430051,Office of Institutional Success and Decision Support,Cabinet
KXN772195,Office of Communications,Senior Staff
TXI478495,"Institutional Compliance, Equity, and Title IX Initiatives",staff
KXG913912,Facilties and Economic Development,Executive
KXE760924,Office of Communications,Senior Staff
VXM920968,Office of Human Resources,staff
PXW434596,Office of Communications,Executive
AXP571538,Office of Audit and Consulting,Cabinet
UXF483963,Office of Development and Alumni Relations,Executive
DXC197449,"Office of Diversity, Equity, and Inclusion",Manager
BXC484500,Information Security,staff
CXF891576,Office of Institutional Success and Decision Support,Cabinet
DXS907812,Office of Budget and Finance,Senior Staff
MXO536265,Information Security,Cabinet
AXR248454,Government and Community Relations,staff
CXR800937,Office of Budget and Finance,Executive
RXA111954,"Office of Diversity, Equity, and Inclusion",Cabinet
VXH751461,Office of Legal Affairs,Senior Staff
PXH745873,Office of Development and Alumni Relations,Executive
BXP195173,Office of Institutional Success and Decision Support,Senior Staff
DXB460119,Student Affairs,Executive
BXC885425,Office of Institutional Success and Decision Support,Cabinet
SXG131140,Information Security,Manager
CXM922977,Student Affairs,Manager
MXA670970,Facilties and Economic Development,Manager
ZXL654529,Office of Audit and Consulting,Manager
DXF772278,"Institutional Compliance, Equity, and Title IX Initiatives",Executive
NXS828936,Office of Communications,Senior Staff
RXJ689007,Office of Information Technology,staff
NXD832364,Government and Community Relations,staff
BXA676361,Government and Community Relations,Senior Staff
MXS309879,Office of the Provost,Executive
TXL467391,Government and Community Relations,Cabinet
TXS472544,Information Security,staff
BXA479066,Office of Legal Affairs,Manager
LXV981827,Office of Audit and Consulting,Senior Staff
HXY614407,Office of Budget and Finance,Cabinet
LXM119195,Office of Information Technology,Manager
NXP505096,Office of Development and Alumni Relations,staff
RXL224729,Office of Human Resources,Manager
GXP488057,Office of Research and Innovation,Senior Staff
NXB763488,Student Affairs,Cabinet
IXB283391,Student Affairs,Senior Staff
DXA347811,"Office of Diversity, Equity, and Inclusion",staff
TXB525666,Office of Audit and Consulting,Senior Staff
OXD215231,Facilties and Economic Development,staff
FXN504875,Office of Legal Affairs,Cabinet
MXD482693,Facilties and Economic Development,Executive
SXC531433,"Office of Diversity, Equity, and Inclusion",Executive
AXH397396,Information Security,Executive
JXB378293,Office of Research and Innovation,Cabinet
SXI551515,Government and Community Relations,Manager
CXL834356,Office of Human Resources,Executive
EXK537386,"Institutional Compliance, Equity, and Title IX Initiatives",Executive
TXG740868,Information Security,Cabinet
VXK238088,"Office of Diversity, Equity, and Inclusion",Manager
AXR555003,Student Affairs,staff
CXC238327,"Institutional Compliance, Equity, and Title IX Initiatives",Executive
IXE939333,Office of the President,Manager
LXT323147,Office of Research and Innovation,Manager
TXG950732,Government and Community Relations,Manager
PXA334747,Office of Communications,Manager
JXW452500,Facilties and Economic Development,Senior Staff
RXB920600,Office of Research and Innovation,Senior Staff
UXT287773,"Institutional Compliance, Equity, and Title IX Initiatives",Senior Staff
BXD805173,Office of Information Technology,Executive
OXL142534,"Office of Diversity, Equity, and Inclusion",Manager
DXB302772,Office of the Provost,Cabinet
WXB472518,Government and Community Relations,Senior Staff
NXI511663,Office of the President,Cabinet
DXC608554,Office of Legal Affairs,Cabinet
UXW796013,Student Affairs,Cabinet
LXS556766,Office of Audit and Consulting,Manager
AXM944987,Student Affairs,Executive
RXH179393,Office of Legal Affairs,Cabinet
GXP409217,Office of the Provost,staff
BXJ398249,Office of the President,Executive
SXG420374,Office of Budget and Finance,Executive
SXD616116,Office of Information Technology,Executive
HXS650867,Office of the President,Senior Staff
GXH324057,Office of Legal Affairs,Senior Staff
TXS583670,Office of Legal Affairs,Senior Staff
CXA632537,Office of Audit and Consulting,Manager
CXO213396,Office of Information Technology,Senior Staff
KXL405281,"Office of Diversity, Equity, and Inclusion",Executive
SXB128134,"Institutional Compliance, Equity, and Title IX Initiatives",Manager
DXT676355,"Institutional Compliance, Equity, and Title IX Initiatives",staff
TXN804428,Office of the President,Manager
MXT475515,Office of Audit and Consulting,Executive
SXC866481,Office of Communications,Cabinet
WXR364654,Office of Legal Affairs,Cabinet
GXT554680,Office of the President,Manager
