NetID,Classification,StudentSchoolName
WXD649262,Freshmen,School of Behavioral and Brain Sciences
BXM659269,Junior,School of Behavioral and Brain Sciences
RXM924818,Senior,School of Behavioral and Brain Sciences
GXB136517,Senior,School of Behavioral and Brain Sciences
JXO286737,Senior,School of Behavioral and Brain Sciences
AXS180466,Freshmen,School of Behavioral and Brain Sciences
PXA604492,Junior,School of Behavioral and Brain Sciences
KXB233227,Junior,School of Behavioral and Brain Sciences
MXJ181888,Junior,School of Behavioral and Brain Sciences
HXG863976,Senior,School of Behavioral and Brain Sciences
CXD603925,Sophomore,School of Behavioral and Brain Sciences
FXT527361,Junior,School of Behavioral and Brain Sciences
EXC293121,Sophomore,School of Behavioral and Brain Sciences
BXH612927,Junior,School of Behavioral and Brain Sciences
VXC845546,Junior,School of Behavioral and Brain Sciences
NXR197829,Senior,School of Behavioral and Brain Sciences
AXO424228,Freshmen,School of Behavioral and Brain Sciences
AXA299273,Sophomore,School of Behavioral and Brain Sciences
IXJ732929,Sophomore,School of Behavioral and Brain Sciences
AXD761280,Junior,School of Behavioral and Brain Sciences
OXN666025,Freshmen,School of Behavioral and Brain Sciences
RXW746206,Freshmen,School of Behavioral and Brain Sciences
HXC895962,Senior,School of Behavioral and Brain Sciences
EXJ372001,Junior,School of Behavioral and Brain Sciences
DXH254471,Sophomore,School of Behavioral and Brain Sciences
BXG152245,Junior,School of Behavioral and Brain Sciences
MXJ670500,Junior,School of Behavioral and Brain Sciences
AXU708626,Freshmen,School of Behavioral and Brain Sciences
IXR122823,Sophomore,School of Behavioral and Brain Sciences
JXR232150,Senior,School of Behavioral and Brain Sciences
GXF486665,Senior,School of Behavioral and Brain Sciences
AXS998240,Sophomore,School of Behavioral and Brain Sciences
VXD458853,Junior,School of Behavioral and Brain Sciences
CXF386031,Senior,School of Behavioral and Brain Sciences
DXB838724,Freshmen,School of Behavioral and Brain Sciences
NXG491564,Senior,School of Behavioral and Brain Sciences
SXF154891,Junior,School of Behavioral and Brain Sciences
CXC993896,Senior,School of Behavioral and Brain Sciences
LXD548293,Junior,School of Behavioral and Brain Sciences
FXL957386,Senior,School of Behavioral and Brain Sciences
JXM751249,Junior,School of Behavioral and Brain Sciences
CXP995296,Senior,School of Behavioral and Brain Sciences
GXC423527,Sophomore,School of Behavioral and Brain Sciences
MXJ430911,Junior,School of Behavioral and Brain Sciences
AXD906189,Sophomore,School of Behavioral and Brain Sciences
GXD632855,Senior,School of Behavioral and Brain Sciences
MXB975603,Junior,School of Behavioral and Brain Sciences
MXG458587,Sophomore,School of Behavioral and Brain Sciences
DXG223897,Senior,School of Behavioral and Brain Sciences
TXJ684772,Senior,School of Behavioral and Brain Sciences
CXC737224,Freshmen,School of Behavioral and Brain Sciences
CXA576151,Junior,School of Behavioral and Brain Sciences
TXH470525,Sophomore,School of Behavioral and Brain Sciences
HXR307838,Freshmen,School of Behavioral and Brain Sciences
EXS496714,Freshmen,School of Behavioral and Brain Sciences
MXE383740,Sophomore,School of Behavioral and Brain Sciences
DXS872251,Senior,School of Behavioral and Brain Sciences
MXT487631,Freshmen,School of Behavioral and Brain Sciences
HXE460804,Junior,School of Behavioral and Brain Sciences
DXI573313,Junior,School of Behavioral and Brain Sciences
EXP260230,Sophomore,School of Behavioral and Brain Sciences
FXF703992,Senior,School of Behavioral and Brain Sciences
CXS539281,Junior,School of Behavioral and Brain Sciences
EXD643084,Junior,School of Behavioral and Brain Sciences
RXB745300,Sophomore,School of Behavioral and Brain Sciences
AXJ138731,Junior,School of Behavioral and Brain Sciences
BXH367571,Freshmen,School of Behavioral and Brain Sciences
SXS929670,Sophomore,School of Behavioral and Brain Sciences
LXR682750,Senior,School of Behavioral and Brain Sciences
LXS445651,Senior,School of Behavioral and Brain Sciences
AXH370497,Senior,School of Behavioral and Brain Sciences
AXS633232,Senior,School of Behavioral and Brain Sciences
DXR517700,Freshmen,School of Behavioral and Brain Sciences
JXM545395,Senior,School of Behavioral and Brain Sciences
JXB191951,Senior,School of Behavioral and Brain Sciences
OXK410928,Freshmen,School of Behavioral and Brain Sciences
IXD109798,Sophomore,School of Behavioral and Brain Sciences
KXF509731,Senior,School of Behavioral and Brain Sciences
WXR691766,Freshmen,School of Behavioral and Brain Sciences
BXH647707,Junior,School of Behavioral and Brain Sciences
BXG275250,Sophomore,School of Behavioral and Brain Sciences
MXE641990,Senior,School of Behavioral and Brain Sciences
CXF119529,Senior,School of Behavioral and Brain Sciences
MXH388591,Junior,School of Behavioral and Brain Sciences
MXW477841,Freshmen,School of Behavioral and Brain Sciences
BXP162979,Senior,School of Behavioral and Brain Sciences
AXD225576,Senior,School of Behavioral and Brain Sciences
AXH525125,Freshmen,School of Behavioral and Brain Sciences
MXP169655,Sophomore,School of Behavioral and Brain Sciences
UXW172756,Senior,School of Behavioral and Brain Sciences
BXW744777,Junior,School of Behavioral and Brain Sciences
MXB508449,Freshmen,School of Behavioral and Brain Sciences
CXS231901,Junior,School of Behavioral and Brain Sciences
MXD730212,Senior,School of Behavioral and Brain Sciences
SXS300332,Freshmen,School of Behavioral and Brain Sciences
CXE478260,Senior,School of Behavioral and Brain Sciences
RXP975238,Senior,School of Behavioral and Brain Sciences
JXS259247,Sophomore,School of Behavioral and Brain Sciences
KXB910081,Sophomore,School of Behavioral and Brain Sciences
HXL327425,Junior,School of Behavioral and Brain Sciences
RXK513772,Junior,School of Behavioral and Brain Sciences
BXJ103934,Freshmen,School of Behavioral and Brain Sciences
BXS547145,Senior,School of Behavioral and Brain Sciences
CXD751953,Freshmen,School of Behavioral and Brain Sciences
CXC592271,Sophomore,School of Behavioral and Brain Sciences
BXP555907,Freshmen,School of Behavioral and Brain Sciences
FXC284095,Junior,School of Behavioral and Brain Sciences
CXV859330,Freshmen,School of Behavioral and Brain Sciences
FXG937948,Junior,School of Behavioral and Brain Sciences
TXC513970,Sophomore,School of Behavioral and Brain Sciences
RXB566933,Junior,School of Behavioral and Brain Sciences
MXS567114,Junior,School of Behavioral and Brain Sciences
CXV828583,Freshmen,School of Behavioral and Brain Sciences
FXS734554,Sophomore,School of Behavioral and Brain Sciences
RXB728239,Freshmen,School of Behavioral and Brain Sciences
FXT343054,Junior,School of Behavioral and Brain Sciences
MXG737333,Junior,School of Behavioral and Brain Sciences
AXA667420,Sophomore,School of Behavioral and Brain Sciences
SXT135548,Freshmen,School of Behavioral and Brain Sciences
MXF627906,Sophomore,School of Behavioral and Brain Sciences
AXG352418,Senior,School of Behavioral and Brain Sciences
DXH769448,Senior,School of Behavioral and Brain Sciences
SXT610544,Freshmen,School of Behavioral and Brain Sciences
KXS773738,Sophomore,School of Behavioral and Brain Sciences
BXB766449,Senior,School of Behavioral and Brain Sciences
BXC654325,Sophomore,School of Behavioral and Brain Sciences
DXB228869,Sophomore,School of Behavioral and Brain Sciences
TXW180851,Senior,School of Behavioral and Brain Sciences
RXL187733,Freshmen,School of Behavioral and Brain Sciences
KXA581382,Sophomore,School of Behavioral and Brain Sciences
CXP882683,Senior,School of Behavioral and Brain Sciences
PXC712417,Freshmen,School of Behavioral and Brain Sciences
MXH631960,Junior,School of Behavioral and Brain Sciences
CXM254646,Senior,School of Behavioral and Brain Sciences
MXL249668,Junior,School of Behavioral and Brain Sciences
JXO376535,Freshmen,School of Behavioral and Brain Sciences
RXL589034,Junior,School of Behavioral and Brain Sciences
NXM741356,Freshmen,School of Behavioral and Brain Sciences
BXO313093,Sophomore,School of Behavioral and Brain Sciences
RXC184224,Senior,School of Behavioral and Brain Sciences
OXP395556,Junior,School of Behavioral and Brain Sciences
TXH543734,Junior,School of Behavioral and Brain Sciences
LXL274006,Sophomore,School of Behavioral and Brain Sciences
BXV568390,Freshmen,School of Behavioral and Brain Sciences
KXM488551,Senior,School of Behavioral and Brain Sciences
EXH946060,Senior,School of Behavioral and Brain Sciences
RXO678333,Junior,School of Behavioral and Brain Sciences
MXB761864,Freshmen,School of Behavioral and Brain Sciences
TXS683734,Sophomore,School of Behavioral and Brain Sciences
SXB621492,Junior,School of Behavioral and Brain Sciences
JXT689810,Junior,School of Behavioral and Brain Sciences
RXS626262,Sophomore,School of Behavioral and Brain Sciences
HXR440041,Senior,School of Behavioral and Brain Sciences
CXL621385,Sophomore,School of Behavioral and Brain Sciences
MXS375051,Freshmen,School of Behavioral and Brain Sciences
BXF382757,Freshmen,School of Behavioral and Brain Sciences
GXR837551,Freshmen,School of Behavioral and Brain Sciences
GXB403223,Sophomore,School of Behavioral and Brain Sciences
MXC378394,Junior,School of Behavioral and Brain Sciences
GXW601173,Junior,School of Behavioral and Brain Sciences
AXK539633,Sophomore,School of Behavioral and Brain Sciences
GXD905638,Sophomore,School of Behavioral and Brain Sciences
EXB350120,Senior,School of Behavioral and Brain Sciences
JXQ364458,Junior,School of Behavioral and Brain Sciences
GXC779101,Freshmen,School of Behavioral and Brain Sciences
YXR167424,Freshmen,School of Behavioral and Brain Sciences
EXO112888,Junior,School of Behavioral and Brain Sciences
TXL598690,Junior,School of Behavioral and Brain Sciences
DXB732547,Senior,School of Behavioral and Brain Sciences
JXH330734,Sophomore,School of Behavioral and Brain Sciences
EXT909730,Junior,School of Behavioral and Brain Sciences
FXF707660,Junior,School of Behavioral and Brain Sciences
AXC154541,Senior,School of Behavioral and Brain Sciences
RXG314215,Senior,School of Behavioral and Brain Sciences
BXL141789,Junior,School of Behavioral and Brain Sciences
RXF196602,Freshmen,School of Behavioral and Brain Sciences
MXR757082,Senior,School of Behavioral and Brain Sciences
AXH159798,Sophomore,School of Behavioral and Brain Sciences
AXN178490,Senior,School of Behavioral and Brain Sciences
UXP220164,Junior,School of Behavioral and Brain Sciences
RXS212222,Sophomore,School of Behavioral and Brain Sciences
DXB923914,Sophomore,School of Behavioral and Brain Sciences
AXS335119,Senior,School of Behavioral and Brain Sciences
DXB744630,Freshmen,School of Behavioral and Brain Sciences
FXV916719,Senior,School of Behavioral and Brain Sciences
PXW972772,Junior,School of Behavioral and Brain Sciences
CXN269530,Sophomore,School of Behavioral and Brain Sciences
AXK359142,Junior,School of Behavioral and Brain Sciences
OXP122022,Junior,School of Behavioral and Brain Sciences
AXH106989,Junior,School of Behavioral and Brain Sciences
CXM404502,Freshmen,School of Behavioral and Brain Sciences
SXO560266,Sophomore,School of Behavioral and Brain Sciences
MXT471865,Junior,School of Behavioral and Brain Sciences
DXH364200,Freshmen,School of Behavioral and Brain Sciences
LXW691001,Freshmen,School of Behavioral and Brain Sciences
SXI634940,Junior,School of Behavioral and Brain Sciences
BXS928525,Sophomore,School of Behavioral and Brain Sciences
PXD871836,Junior,School of Behavioral and Brain Sciences
CXH204728,Senior,School of Behavioral and Brain Sciences
AXW621705,Freshmen,School of Behavioral and Brain Sciences
BXR102443,Sophomore,School of Behavioral and Brain Sciences
GXL995377,Senior,School of Behavioral and Brain Sciences
DXC896632,Sophomore,School of Behavioral and Brain Sciences
IXP586197,Freshmen,School of Behavioral and Brain Sciences
JXP820093,Junior,School of Behavioral and Brain Sciences
GXS260728,Sophomore,School of Behavioral and Brain Sciences
MXT979080,Sophomore,School of Behavioral and Brain Sciences
RXF175637,Junior,School of Behavioral and Brain Sciences
MXS524934,Senior,School of Behavioral and Brain Sciences
DXC161131,Junior,School of Behavioral and Brain Sciences
SXD630544,Junior,School of Behavioral and Brain Sciences
RXK990236,Freshmen,School of Behavioral and Brain Sciences
GXS368663,Junior,School of Behavioral and Brain Sciences
VXF660946,Senior,School of Behavioral and Brain Sciences
XXM226566,Senior,School of Behavioral and Brain Sciences
GXF296792,Sophomore,School of Behavioral and Brain Sciences
HXJ827473,Freshmen,School of Behavioral and Brain Sciences
CXF849391,Senior,School of Behavioral and Brain Sciences
PXD790821,Freshmen,School of Behavioral and Brain Sciences
FXT371550,Freshmen,School of Behavioral and Brain Sciences
RXC846648,Freshmen,School of Behavioral and Brain Sciences
EXS689871,Freshmen,School of Behavioral and Brain Sciences
JXC461577,Freshmen,School of Behavioral and Brain Sciences
AXD733998,Sophomore,School of Behavioral and Brain Sciences
JXP706116,Junior,School of Behavioral and Brain Sciences
MXH601766,Junior,School of Behavioral and Brain Sciences
GXD364403,Sophomore,School of Behavioral and Brain Sciences
SXS579104,Junior,School of Behavioral and Brain Sciences
LXC894328,Senior,School of Behavioral and Brain Sciences
PXD536339,Sophomore,School of Behavioral and Brain Sciences
KXS636844,Senior,School of Behavioral and Brain Sciences
SXB255028,Junior,School of Behavioral and Brain Sciences
DXE265066,Freshmen,School of Behavioral and Brain Sciences
GXW334310,Senior,School of Behavioral and Brain Sciences
ZXF319070,Sophomore,School of Behavioral and Brain Sciences
FXS654552,Junior,School of Behavioral and Brain Sciences
RXW662177,Freshmen,School of Behavioral and Brain Sciences
EXG313509,Senior,School of Behavioral and Brain Sciences
FXS528732,Freshmen,School of Behavioral and Brain Sciences
TXB588105,Freshmen,School of Behavioral and Brain Sciences
GXM350541,Senior,School of Behavioral and Brain Sciences
WXT102394,Freshmen,School of Behavioral and Brain Sciences
TXB702496,Freshmen,School of Behavioral and Brain Sciences
AXA462236,Freshmen,School of Behavioral and Brain Sciences
NXS816645,Sophomore,School of Behavioral and Brain Sciences
MXW259249,Freshmen,School of Behavioral and Brain Sciences
EXY509156,Freshmen,School of Behavioral and Brain Sciences
DXL919108,Senior,School of Behavioral and Brain Sciences
FXF858360,Junior,School of Behavioral and Brain Sciences
TXD805978,Freshmen,School of Behavioral and Brain Sciences
AXP692209,Junior,School of Behavioral and Brain Sciences
SXM656818,Freshmen,School of Behavioral and Brain Sciences
HXD468602,Freshmen,School of Behavioral and Brain Sciences
KXP528798,Junior,School of Behavioral and Brain Sciences
HXS516241,Senior,School of Behavioral and Brain Sciences
SXP484108,Sophomore,School of Behavioral and Brain Sciences
NXI784639,Freshmen,School of Behavioral and Brain Sciences
DXB542333,Sophomore,School of Behavioral and Brain Sciences
NXC905722,Junior,School of Behavioral and Brain Sciences
SXM149507,Freshmen,School of Behavioral and Brain Sciences
RXW303447,Sophomore,School of Behavioral and Brain Sciences
CXD450964,Junior,School of Behavioral and Brain Sciences
JXK769257,Junior,School of Behavioral and Brain Sciences
HXD252277,Freshmen,School of Behavioral and Brain Sciences
BXG927442,Freshmen,School of Behavioral and Brain Sciences
MXT434806,Junior,School of Behavioral and Brain Sciences
GXT772561,Junior,School of Behavioral and Brain Sciences
MXD578577,Sophomore,School of Behavioral and Brain Sciences
RXM491167,Junior,School of Behavioral and Brain Sciences
MXD236744,Junior,School of Behavioral and Brain Sciences
WXH604467,Sophomore,School of Behavioral and Brain Sciences
SXV618925,Freshmen,School of Behavioral and Brain Sciences
BXM521266,Junior,School of Behavioral and Brain Sciences
MXG290739,Sophomore,School of Behavioral and Brain Sciences
TXW654399,Sophomore,School of Behavioral and Brain Sciences
DXS940985,Senior,School of Behavioral and Brain Sciences
SXC263452,Junior,School of Behavioral and Brain Sciences
AXH824365,Sophomore,School of Behavioral and Brain Sciences
RXS969318,Freshmen,School of Behavioral and Brain Sciences
AXE273576,Junior,School of Behavioral and Brain Sciences
MXI546704,Senior,School of Behavioral and Brain Sciences
MXF598379,Senior,School of Behavioral and Brain Sciences
MXM782883,Sophomore,School of Behavioral and Brain Sciences
GXB646495,Senior,School of Behavioral and Brain Sciences
DXJ680053,Junior,School of Behavioral and Brain Sciences
DXP237058,Senior,School of Behavioral and Brain Sciences
CXM764108,Junior,School of Behavioral and Brain Sciences
AXM116453,Sophomore,School of Behavioral and Brain Sciences
FXC827948,Junior,School of Behavioral and Brain Sciences
DXC755143,Junior,School of Behavioral and Brain Sciences
VXM547052,Sophomore,School of Behavioral and Brain Sciences
SXG628728,Junior,School of Behavioral and Brain Sciences
DXJ132888,Sophomore,School of Behavioral and Brain Sciences
KXB151596,Freshmen,School of Behavioral and Brain Sciences
AXD335034,Freshmen,School of Behavioral and Brain Sciences
BXT614944,Freshmen,School of Behavioral and Brain Sciences
FXL549416,Junior,School of Behavioral and Brain Sciences
BXG166629,Sophomore,School of Behavioral and Brain Sciences
HXM685422,Junior,School of Behavioral and Brain Sciences
HXC114491,Freshmen,School of Behavioral and Brain Sciences
AXE231188,Freshmen,School of Behavioral and Brain Sciences
SXC415956,Freshmen,School of Behavioral and Brain Sciences
CXM109237,Junior,School of Behavioral and Brain Sciences
AXN204350,Freshmen,School of Behavioral and Brain Sciences
EXB986304,Junior,School of Behavioral and Brain Sciences
PXS622012,Freshmen,School of Behavioral and Brain Sciences
LXF734134,Senior,School of Behavioral and Brain Sciences
EXO324754,Freshmen,School of Behavioral and Brain Sciences
KXJ105423,Senior,School of Behavioral and Brain Sciences
IXM370224,Senior,School of Behavioral and Brain Sciences
EXA628290,Senior,School of Behavioral and Brain Sciences
SXG417504,Freshmen,School of Behavioral and Brain Sciences
RXB619680,Freshmen,School of Behavioral and Brain Sciences
DXP306977,Junior,School of Behavioral and Brain Sciences
SXP175933,Sophomore,School of Behavioral and Brain Sciences
KXT917222,Senior,School of Behavioral and Brain Sciences
KXW889965,Junior,School of Behavioral and Brain Sciences
AXC298540,Freshmen,School of Behavioral and Brain Sciences
MXS285871,Junior,School of Behavioral and Brain Sciences
MXF413666,Junior,School of Behavioral and Brain Sciences
NXF497680,Freshmen,School of Behavioral and Brain Sciences
DXB576243,Junior,School of Behavioral and Brain Sciences
RXN776697,Senior,School of Behavioral and Brain Sciences
VXB680469,Junior,School of Behavioral and Brain Sciences
JXL918298,Junior,School of Behavioral and Brain Sciences
JXB449587,Junior,School of Behavioral and Brain Sciences
DXF806739,Senior,School of Behavioral and Brain Sciences
BXS693811,Freshmen,School of Behavioral and Brain Sciences
BXR309801,Freshmen,School of Behavioral and Brain Sciences
TXK811134,Freshmen,School of Behavioral and Brain Sciences
MXS643077,Sophomore,School of Behavioral and Brain Sciences
RXD771613,Freshmen,School of Behavioral and Brain Sciences
CXF894016,Freshmen,School of Behavioral and Brain Sciences
KXC109757,Junior,School of Behavioral and Brain Sciences
DXE209024,Sophomore,School of Behavioral and Brain Sciences
RXY692802,Senior,School of Behavioral and Brain Sciences
IXF967973,Senior,School of Behavioral and Brain Sciences
SXR751228,Sophomore,School of Behavioral and Brain Sciences
RXF932428,Sophomore,School of Behavioral and Brain Sciences
CXM922201,Senior,School of Behavioral and Brain Sciences
TXB770721,Sophomore,School of Behavioral and Brain Sciences
AXB430940,Sophomore,School of Behavioral and Brain Sciences
VXM294697,Junior,School of Behavioral and Brain Sciences
KXB142336,Sophomore,School of Behavioral and Brain Sciences
CXM539644,Freshmen,School of Behavioral and Brain Sciences
FXT621543,Junior,School of Behavioral and Brain Sciences
CXS622463,Sophomore,School of Behavioral and Brain Sciences
JXL670887,Freshmen,School of Behavioral and Brain Sciences
NXF503682,Junior,School of Behavioral and Brain Sciences
BXC687959,Senior,School of Behavioral and Brain Sciences
LXC440542,Senior,School of Behavioral and Brain Sciences
AXD982682,Freshmen,School of Behavioral and Brain Sciences
MXR131190,Sophomore,School of Behavioral and Brain Sciences
KXP197106,Senior,School of Behavioral and Brain Sciences
DXW534543,Sophomore,School of Behavioral and Brain Sciences
CXT124984,Sophomore,School of Behavioral and Brain Sciences
HXR142919,Sophomore,School of Behavioral and Brain Sciences
