OrgName,OrgWebsite
Linkbridge,http://cornell.edu/pede/justo/lacinia/eget/tincidunt/eget/tempus.jsp
Yacero,https://theguardian.com/adipiscing/elit/proin/interdum.jpg
Flipbug,http://who.int/morbi/vel/lectus/in/quam/fringilla.json
Abata,http://amazon.co.jp/ultrices/posuere/cubilia/curae.html
Plajo,http://engadget.com/fermentum/donec/ut/mauris.html
Chatterbridge,https://apache.org/lobortis/convallis/tortor/risus.js
Eazzy,http://ucla.edu/mauris/non/ligula/pellentesque.json
Teklist,http://angelfire.com/morbi/odio/odio/elementum/eu/interdum.jsp
Flashset,http://jugem.jp/maecenas.jpg
Livetube,https://163.com/erat/vestibulum/sed/magna/at/nunc.aspx
Yata,https://sitemeter.com/nulla/eget/eros/elementum.json
Avaveo,http://pagesperso-orange.fr/nunc/donec/quis/orci.png
Youfeed,https://kickstarter.com/justo/lacinia/eget.html
Voonder,https://oakley.com/vehicula/consequat/morbi/a.aspx
Eamia,http://infoseek.co.jp/in/felis/donec/semper/sapien/a/libero.jpg
Gigaclub,http://sfgate.com/lectus/pellentesque/at/nulla/suspendisse/potenti.xml
Quamba,http://fotki.com/in.js
Edgewire,https://example.com/duis.jpg
Devpoint,https://twitter.com/ut.jsp
Twitterbridge,https://jimdo.com/libero/nam/dui/proin.jsp
Zoomdog,http://loc.gov/proin/eu/mi/nulla/ac/enim/in.jpg
Gigazoom,https://disqus.com/porttitor/id/consequat/in.xml
Blogspan,https://com.com/vestibulum/ante/ipsum/primis/in/faucibus.json
Vinte,https://networksolutions.com/nascetur.xml
Realcube,https://clickbank.net/nunc/vestibulum/ante/ipsum/primis/in.js
Katz,http://epa.gov/montes/nascetur/ridiculus/mus/etiam/vel/augue.aspx
Zooxo,https://hc360.com/id/mauris/vulputate/elementum/nullam.json
Jayo,https://paypal.com/ac/lobortis.html
Quaxo,http://omniture.com/faucibus/orci/luctus/et/ultrices/posuere.jsp
Fatzxc,http://tiny.cc/fusce/lacus/purus/aliquet.jpg
Layo,http://businesswire.com/nec/nisi/vulputate/nonummy/maecenas/tincidunt.aspx
Devpointed,https://google.co.uk/in/est/risus/auctor/sed.json
Flashpoint,https://addthis.com/sed/vel/enim/sit/amet/nunc/viverra.js
Dabfeed,https://tamu.edu/ut/nunc/vestibulum/ante.jsp
Blogtags,http://nyu.edu/sollicitudin.aspx
Midel,http://linkedin.com/tristique/est/et.jsp
Eamiao,http://liveinternet.ru/sapien/arcu/sed/augue/aliquam/erat/volutpat.jpg
Camido,http://loc.gov/ante/ipsum/primis.aspx
Riffpath,https://opensource.org/faucibus.js
Zoonoodle,http://amazonaws.com/risus/praesent/lectus/vestibulum/quam/sapien/varius.js
Demizz,http://ebay.com/nulla/suscipit/ligula/in/lacus/curabitur.xml
Livepath,http://wsj.com/est/quam/pharetra/magna/ac/consequat.jsp
Kats,https://uol.com.br/donec.jpg
Oyoyo,http://usa.gov/risus/semper/porta/volutpat/quam/pede.json
Tagpad,http://narod.ru/mattis/nibh/ligula/nec/sem/duis.html
Kwimbee,https://ucoz.com/pharetra/magna.html
Fliptune,http://creativecommons.org/commodo.xml
Ozu,https://cnet.com/commodo/placerat/praesent/blandit.jsp
Laz,https://newsvine.com/curabitur/in.js
Jamia,https://smugmug.com/sapien/urna/pretium/nisl.js
Lazz,http://constantcontact.com/vel/sem/sed/sagittis/nam/congue/risus.jsp
Kwimbeem,http://theguardian.com/curabitur/gravida/nisi/at.jsp
Skaboo,http://bandcamp.com/nulla/mollis/molestie.js
Topiclounge,https://npr.org/nec.jpg
Quimba,http://va.gov/in.png
Rhyloo,https://sfgate.com/donec/semper.aspx
Bubbletube,https://alibaba.com/ultrices/phasellus/id/sapien/in.html
Mydeo,https://goodreads.com/nibh/in/hac/habitasse/platea/dictumst/aliquam.aspx
Mudo,http://guardian.co.uk/augue/luctus/tincidunt/nulla/mollis/molestie.html
Flipopia,https://ed.gov/ipsum/ac.json
Realpoint,http://furl.net/rutrum/nulla/nunc/purus/phasellus/in/felis.xml
Devbug,http://tuttocitta.it/lectus/aliquam/sit.jsp
Photospace,http://google.com.au/quis/libero/nullam/sit.html
Zoombox,http://joomla.org/aliquet.xml
Wrestling Club,http://mail.ru/mi/pede/malesuada/in/imperdiet/et.jpg
Oyonder,http://washington.edu/amet/erat.aspx
Skiptube,https://taobao.com/lacus/morbi/quis.html
Snaptags,http://berkeley.edu/ut/erat/id/mauris/vulputate.json
Mydeon,http://umich.edu/tellus/semper/interdum/mauris/ullamcorper/purus.js
Jazzy,http://addthis.com/vestibulum/ac.xml
Gigaclubbing,https://google.pl/duis/faucibus/accumsan/odio/curabitur/convallis.js
Skipfire,http://accuweather.com/cubilia/curae/duis/faucibus/accumsan.js
Jabbertype,http://scribd.com/adipiscing/lorem.xml
Mynte,https://behance.net/felis/sed/lacus/morbi/sem/mauris.json
Oyope,http://rakuten.co.jp/vulputate/justo/in/blandit.aspx
Brainbox,https://squarespace.com/diam/nam/tristique/tortor/eu.jpg
Skimia,http://seesaa.net/primis/in/faucibus/orci/luctus/et/ultrices.js
Riffpaths,https://ucla.edu/integer/ac/leo/pellentesque/ultrices/mattis.js
Roombo,https://freewebs.com/mauris/enim/leo/rhoncus/sed.png
Avamba,https://wisc.edu/id/pretium.js
Jayod,https://domainmarket.com/leo/rhoncus/sed/vestibulum/sit/amet/cursus.aspx
Gigashon,https://ucsd.edu/aliquam/convallis.js
Thoughtblab,http://globo.com/magna/vestibulum/aliquet/ultrices/erat/tortor.js
Skyndu,https://hugedomains.com/eu/felis/fusce/posuere/felis/sed/lacus.jsp
Jayop,http://ow.ly/proin/at/turpis/a/pede.png
Flashspan,https://mlb.com/felis/fusce/posuere/felis/sed/lacus/morbi.jsp
Thoughtstorm,http://bloglovin.com/iaculis/justo.json
Skalith,http://infoseek.co.jp/dictumst/maecenas/ut/massa/quis/augue/luctus.aspx
Edgeblab,https://who.int/montes/nascetur.jpg
Fiveclub,http://taobao.com/bibendum/felis/sed/interdum/venenatis.js
Yodo,http://abc.net.au/nibh/fusce/lacus/purus/aliquet.json
Meedoo,http://is.gd/et/ultrices/posuere/cubilia/curae.png
Tagpads,https://sina.com.cn/dictumst.xml
Shuffledrive,https://goo.ne.jp/nec/condimentum/neque/sapien/placerat/ante/nulla.json
Pixoboo,https://tiny.cc/ultrices/aliquet/maecenas/leo/odio/condimentum/id.aspx
Browseblab,http://lulu.com/in/hac/habitasse/platea/dictumst/aliquam/augue.aspx
Eire,https://addtoany.com/viverra/diam/vitae/quam/suspendisse/potenti/nullam.aspx
Oyondered,http://redcross.org/risus/praesent.png
Bubblebox,http://tripadvisor.com/felis/fusce/posuere/felis/sed.js
Rhybox,https://exblog.jp/augue/aliquam/erat/volutpat/in/congue/etiam.png
Skynoodle,https://geocities.com/ut/odio/cras.jpg
Kaymbo,https://goo.ne.jp/nisi/eu/orci/mauris/lacinia/sapien/quis.js
Plajon,http://mozilla.org/cras/mi/pede/malesuada/in.xml
Bubblemix,https://apache.org/ut/erat/id/mauris/vulputate.jsp
Bubbletubes,https://wix.com/tincidunt/ante/vel/ipsum/praesent.js
Yombu,https://psu.edu/quisque/id/justo/sit/amet/sapien/dignissim.jpg
Nlounge,http://cnet.com/nulla/quisque.png
Mydo,http://columbia.edu/phasellus/in/felis/donec.jsp
Gabvine,http://nymag.com/morbi/a/ipsum/integer/a.js
